country,Total public social protection expenditure and health expenditure (% GDP),Public health care (% GDP),Public social protection (% GDP),year,sanity,ILO social_p cont lin estimation,ILO social_r cont lin estimation,ILO social_p piecewise lin estimation,ILO social_r piecewise lin estimation
Dominica,7.99,4.19,3.8,2010.0,0,0.1287894318591417,0.08350309692536723,0.280258103931101,0.1613896122907743
Equatorial Guinea,2.78,2.43,0.35,2010.0,0,0.011862184513342,0.007691074716810139,0.025813246414706673,0.06189438482637098
Eritrea,1.64,1.25,0.39,2011.0,0,0.01321786274343823,0.008570054684445584,0.02876333171924458,0.06896802880652768
Ethiopia,3.17,2.56,0.61,2010.0,0,0.020674093008967488,0.01340444450644053,0.04498880089420306,0.10787307069738943
Fiji,,1.87,,,#VALEUR!,,,0.0,0.0
"Gambia, The",2.98,2.48,0.5,2010.0,0,0.016945977876202858,0.010987249595443057,0.03687606630672382,0.08842054975195855
Ghana,5.39,3.02,2.37,2010.0,0,0.08032393513320155,0.05207956308240009,0.17479255429387092,0.14084788050397545
Grenada,4.27,2.63,1.64,2010.0,0,0.05558280743394537,0.03603817867305322,0.12095349748605412,0.13036154189952567
Guinea,2.47,2.01,0.46,2010.0,0,0.01559029964610663,0.010108269627807613,0.03392598100218591,0.08134690577180187
Guinea-Bissau,5.44,2.31,3.13,2010.0,0,0.10608182150502989,0.06878018246747354,0.23084417508009109,0.15176516453052585
Guyana,8.18,4.48,3.7,2010.0,0,0.12540023628390115,0.08130564700627863,0.2728828906697563,0.1599531275504386
Haiti,3.27,2.21,1.06,2013.0,0,0.03592547309755006,0.023292969142339283,0.0781772605702545,0.12202993040557929
"Hong Kong SAR, China",5.17,2.92,2.25,2012.0,0,0.07625690044291286,0.04944262317949376,0.16594229838025717,0.1391240988155727
Iceland,18.06,7.12,10.94,2011.0,0,0.3707779959313185,0.24040102114829406,0.46857187983514303,0.2639546227507348
India,2.39,0.96,1.42,2012.0,0.01,0.04812657716841611,0.03120378885105828,0.10472802831109564,0.12720127547078736
Indonesia,2.63,1.03,1.6,2010.0,0,0.054227129203849145,0.03515919870541778,0.11800341218151622,0.1297869480033914
"Iran, Islamic Rep.",12.53,1.84,10.69,2010.0,0,0.3623050069932171,0.23490739635057253,0.4664284737254948,0.260363410899896
Iraq,11.65,6.36,5.3,2010.0,-0.01,0.1796273654877503,0.1164648457116964,0.39088630285127246,0.18293688339580805
Israel,16.02,4.33,11.69,2011.0,0,0.39619696274562277,0.2568818955414587,0.4750020981640874,0.27472825830325176
Japan,23.56,6.81,16.75,2011.0,0,0.5676902588527958,0.3680728614473424,0.5183846378233656,0.34741438616423226
Kazakhstan,6.38,2.27,4.11,2011.0,0,0.1392959381423875,0.09031519167454194,0.3031212650412698,0.1658427149858146
Kiribati,10.1,8.52,1.58,2011.0,0,0.053549290088801035,0.03471970872160006,0.11652836952924728,0.12949965105532432
"Korea, Rep.",9.14,4.0,5.13,2011.0,0.01,0.17386573300984132,0.11272918084924577,0.3783484403069864,0.18049485933723752
Kosovo,6.1,2.3,3.8,2009.0,0,0.1287894318591417,0.08350309692536723,0.280258103931101,0.1613896122907743
Kuwait,11.44,2.23,9.21,2011.0,0,0.31214491247965664,0.20238513754806112,0.45373950955637793,0.23910343674292944
Lebanon,1.12,0.77,0.36,2011.0,-0.01,0.012201104070866057,0.007910819708719001,0.02655076774084115,0.06366279582141016
Lesotho,8.16,7.98,0.18,2010.0,-2.77556E-16,0.0061005520354330284,0.003955409854359501,0.013275383870420574,0.03183139791070508
Libya,6.55,2.11,4.44,2010.0,0,0.15048028354068138,0.09756677640753436,0.3274594688037075,0.17058311462892195
Luxembourg,23.02,6.49,16.53,2010.0,0,0.5602340285872666,0.3632384716253475,0.5164984404468753,0.3442541197354938
"Macao SAR, China",5.12,1.35,3.77,2011.0,0,0.12777267318656954,0.08284386194964065,0.2780455399526976,0.16095866686867355
"Macedonia, FYR",17.56,4.08,13.48,2010.0,0,0.4568635635424291,0.2962162490931448,0.4903488859091679,0.30044133515525884
Maldives,6.22,0.36,5.86,2012.0,0,0.1986068607090975,0.12877056525859262,0.42501786768709293,0.19098119794168722
Malta,18.32,4.01,14.32,2011.0,-0.01,0.48533280637444987,0.31467482841348915,0.4975507304375856,0.3125078069740779
Marshall Islands,24.01,14.37,9.64,2010.0,0,0.3267184534531911,0.21183417220014214,0.4574261680649727,0.24528032112637232
Mauritania,4.87,4.03,0.84,2010.0,0,0.028469242832020798,0.018458579320344334,0.06195179139529601,0.11886966397684101
Mauritius,9.12,2.39,6.73,2011.0,0,0.2280928622136905,0.14788837955466355,0.4324769209486684,0.2034786151826068
Montenegro,20.05,6.24,13.81,2011.0,0,0.46804790894072296,0.30346783382613723,0.4931781819739034,0.30518173479836586
Morocco,6.57,2.07,4.51,2010.0,-0.01,0.15285272044334977,0.09910499135089637,0.3326221180866488,0.17158865394715683
Mozambique,5.32,3.29,2.02,2010.0,0.01,0.06846175061985954,0.04438848836558995,0.14897930787916422,0.13582018391280085
Myanmar,0.94,0.24,0.7,2010.0,0,0.023724369026684,0.015382149433620278,0.05162649282941335,0.11685858534037118
Namibia,7.4,2.8,4.6,2011.0,0,0.15590299646106628,0.10108269627807612,0.3392598100218591,0.1728814902134589
Nauru,9.49,8.33,1.15,2010.0,0.01,0.03897574911526657,0.02527067406951903,0.08481495250546478,0.1233227666718813
New Zealand,21.2,8.39,12.81,2010.0,0,0.43415595318831723,0.2814933346352511,0.48460455753531095,0.29081688739501055
Nicaragua,6.95,4.06,2.89,2009.0,0,0.09794775212445252,0.06350630266166087,0.21314366325286369,0.14831760115372045
North America,,,,,0,,,0.0,0.0
Norway,22.37,6.53,15.84,2011.0,0,0.5368485791181066,0.34807606718363604,0.5105826395842464,0.33434237502717856
Oceania,,,,,0,,,0.0,0.0
Oman,3.8,1.49,2.31,2011.0,0,0.0782904177880572,0.05076109313094693,0.17036742633706406,0.13998598965977405
Palau,15.79,8.79,7.0,2010.0,0,0.23724369026684,0.1538214943362028,0.43479179954708846,0.20735712398151307
Papua New Guinea,4.39,3.27,1.12,2012.0,0,0.03795899044269441,0.02461143909379245,0.08260238852706137,0.12289182124978063
Portugal,25.43,6.93,18.5,2010.0,0,0.6270011814195058,0.4065282350313931,0.5333884805909024,0.372552869120105
Qatar,1.74,1.53,0.22,2010.0,-0.01,0.007456230265529258,0.004834389821994945,0.01622546917495848,0.03890504189086176
Russian Federation,15.97,3.96,12.01,2011.0,0,0.40704238858639263,0.26391373528254225,0.4777456579844369,0.27932500947232564
Samoa,4.95,3.87,1.07,2012.0,0.01,0.03626439265507412,0.023512714134248144,0.07891478189638898,0.12217357887961283
San Marino,21.4,6.08,15.32,2010.0,0,0.5192247621268555,0.33664932760437527,0.5061243548761784,0.3268726543774334
Saudi Arabia,3.64,2.54,1.1,2011.0,0,0.03728115132764629,0.02417194910997473,0.08112734587479241,0.12260452430171351
Seychelles,7.52,3.14,4.39,2011.0,-0.01,0.1487856857530611,0.09646805144799003,0.3237718621730351,0.16986487225875424
Singapore,2.83,1.2,1.63,2011.0,0,0.055243887876421316,0.03581843368114437,0.12021597615991964,0.1302178934254921
Solomon Islands,8.25,6.95,1.3,2010.0,0,0.044059542478127434,0.028566848948151948,0.09587777239748194,0.12547749378238468
St. Kitts and Nevis,5.61,2.6,3.01,2010.0,0,0.1020147868147412,0.0661432425645672,0.22199391916647737,0.1500413828421232
St. Lucia,5.97,4.25,1.72,2010.0,0,0.05829416389413783,0.03779613860832411,0.12685366809512993,0.13151072969179411
St. Vincent and the Grenadines,8.25,3.9,4.35,2010.0,0,0.14743000752296484,0.09558907148035459,0.3208217768684972,0.1692902783626199
Sudan,2.27,1.99,0.29,2010.0,-0.01,0.009828667168197656,0.006372604765356973,0.021388118457899813,0.05128391885613596
Swaziland,7.32,5.54,1.78,2010.0,0,0.06032768123928217,0.03911460855977728,0.1312787960519368,0.13237262053599552
Switzerland,20.55,6.74,13.82,2010.0,-0.01,0.468386828498247,0.3036875788180461,0.4932639182182894,0.3053253832723999
