country,social_p,social_p cont. lin. est. from ILO,social_p piecewise lin. est. from ILO,social_r,social_r cont. lin. est. from ILO,social_r piecewise lin. est. from ILO
Montenegro,,0.46804790894072296,0.4931781819739034,,0.30346783382613723,0.30518173479836586
Morocco,,0.15285272044334977,0.3326221180866488,,0.09910499135089637,0.17158865394715683
Mozambique,,0.06846175061985954,0.14897930787916422,,0.04438848836558995,0.13582018391280085
Myanmar,,0.023724369026684,0.05162649282941335,,0.015382149433620278,0.11685858534037118
Namibia,,0.15590299646106628,0.3392598100218591,,0.10108269627807612,0.1728814902134589
Nauru,,0.03897574911526657,0.08481495250546478,,0.02527067406951903,0.1233227666718813
New Zealand,,0.43415595318831723,0.48460455753531095,,0.2814933346352511,0.29081688739501055
Nicaragua,,0.09794775212445252,0.21314366325286369,,0.06350630266166087,0.14831760115372045
North America,,,,,,
Norway,,0.5368485791181066,0.5105826395842464,,0.34807606718363604,0.33434237502717856
Oceania,,,,,,
Oman,,0.0782904177880572,0.17036742633706406,,0.05076109313094693,0.13998598965977405
Palau,,0.23724369026684,0.43479179954708846,,0.1538214943362028,0.20735712398151307
Papua New Guinea,,0.03795899044269441,0.08260238852706137,,0.02461143909379245,0.12289182124978063
Portugal,,0.6270011814195058,0.5333884805909024,,0.4065282350313931,0.372552869120105
Qatar,,0.007456230265529258,0.01622546917495848,,0.004834389821994945,0.03890504189086176
Russian Federation,,0.40704238858639263,0.4777456579844369,,0.26391373528254225,0.27932500947232564
Samoa,,0.03626439265507412,0.07891478189638898,,0.023512714134248144,0.12217357887961283
San Marino,,0.5192247621268555,0.5061243548761784,,0.33664932760437527,0.3268726543774334
Saudi Arabia,,0.03728115132764629,0.08112734587479241,,0.02417194910997473,0.12260452430171351
Seychelles,,0.1487856857530611,0.3237718621730351,,0.09646805144799003,0.16986487225875424
Singapore,,0.055243887876421316,0.12021597615991964,,0.03581843368114437,0.1302178934254921
Solomon Islands,,0.044059542478127434,0.09587777239748194,,0.028566848948151948,0.12547749378238468
St. Kitts and Nevis,,0.1020147868147412,0.22199391916647737,,0.0661432425645672,0.1500413828421232
St. Lucia,,0.05829416389413783,0.12685366809512993,,0.03779613860832411,0.13151072969179411
St. Vincent and the Grenadines,,0.14743000752296484,0.3208217768684972,,0.09558907148035459,0.1692902783626199
Sudan,,0.009828667168197656,0.021388118457899813,,0.006372604765356973,0.05128391885613596
Swaziland,,0.06032768123928217,0.1312787960519368,,0.03911460855977728,0.13237262053599552
Switzerland,,0.468386828498247,0.4932639182182894,,0.3036875788180461,0.3053253832723999
São Tomé and Príncipe,,0.02508004725678023,0.05457657813395125,,0.016261129401255726,0.11743317923650543
Taiwan,,0.21555283858530036,0.4293046799063892,,0.13975781485403568,0.1981636216433652
Tajikistan,,0.16810410053193234,0.36581057776270026,,0.10899351598679513,0.1780528352786671
Timor-Leste,,0.08845800451377892,0.19249306612109832,,0.05735344288821276,0.14429544388078075
Togo,,0.0782904177880572,0.17036742633706406,,0.05076109313094693,0.13998598965977405
Tonga,,0.035586553540026,0.07743973924412002,,0.02307322415043042,0.12188628193154571
Trinidad and Tobago,,0.19115063044356823,0.41596202793984466,,0.12393617543659767,0.18782093151294899
Tunisia,,0.30197732575393493,0.4511674222248001,,0.1957927877907953,0.23479398252192252
Tuvalu,,0.15861435292125875,0.34515998063093495,,0.10284065621334701,0.17403067800572747
United Arab Emirates,,0.07320662442519635,0.1593046064450469,,0.04746491825231401,0.1378312625492707
Uzbekistan,,0.2857091869927802,0.44705208249427575,,0.18524502817916993,0.22789885576831193
Vanuatu,,0.025418966814304285,0.055314099460085725,,0.016480874393164584,0.11757682771053897
"Venezuela, RB",,0.1796273654877503,0.39088630285127246,,0.1164648457116964,0.18293688339580805
Zimbabwe,,0.044059542478127434,0.09587777239748194,,0.028566848948151948,0.12547749378238468
